id,link,name,color,Fit,Composition,Size,More sustainable materials,Product safety,description,price
0690449001,https://www2.hm.com/en_us/productpage.0690449001.html,Skinny Jeans,Light denim blue/trashed,Skinny fit,"Cotton 99%, Elastane 1%",,,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449002,https://www2.hm.com/en_us/productpage.0690449002.html,Skinny Jeans,Denim blue,Skinny fit,"Cotton 98%, Elastane 2%",,,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449006,https://www2.hm.com/en_us/productpage.0690449006.html,Skinny Jeans,Black/washed,Skinny fit,Lining: Cotton 100%,,,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449007,https://www2.hm.com/en_us/productpage.0690449007.html,Skinny Jeans,Light denim blue,Skinny fit,"Cotton 98%, Elastane 2%",,,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449009,https://www2.hm.com/en_us/productpage.0690449009.html,Skinny Jeans,Black washed out,Skinny fit,"Cotton 99%, Elastane 1%",,,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449011,https://www2.hm.com/en_us/productpage.0690449011.html,Skinny Jeans,White,Skinny fit,"Cotton 99%, Elastane 1%",,,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449013,https://www2.hm.com/en_us/productpage.0690449013.html,Skinny Jeans,Black/washed,Skinny fit,"Cotton 98%, Elastane 2%",,,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449021,https://www2.hm.com/en_us/productpage.0690449021.html,Skinny Jeans,Dark denim blue/trashed,Skinny fit,Lining: Polyester 100%,,,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449022,https://www2.hm.com/en_us/productpage.0690449022.html,Skinny Jeans,Black/trashed,Skinny fit,Lining: Polyester 100%,"The model is 184cm/6'0"" and wears a size 31/32",,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449024,https://www2.hm.com/en_us/productpage.0690449024.html,Skinny Jeans,Dark blue/Trashed,Skinny fit,Lining: Polyester 100%,,,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449028,https://www2.hm.com/en_us/productpage.0690449028.html,Skinny Jeans,Dark blue/washed out,Skinny fit,"Cotton 98%, Elastane 2%",,,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449035,https://www2.hm.com/en_us/productpage.0690449035.html,Skinny Jeans,Denim blue/trashed,Skinny fit,"Cotton 98%, Elastane 2%",,,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449036,https://www2.hm.com/en_us/productpage.0690449036.html,Skinny Jeans,Black,Skinny fit,"Cotton 98%, Elastane 2%",,,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449040,https://www2.hm.com/en_us/productpage.0690449040.html,Skinny Jeans,Denim gray,Skinny fit,"Cotton 98%, Elastane 2%",,,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449043,https://www2.hm.com/en_us/productpage.0690449043.html,Skinny Jeans,Light denim blue/trashed,Skinny fit,"Cotton 98%, Elastane 2%","The model is 187cm/6'2"" and wears a size 32/32",,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449046,https://www2.hm.com/en_us/productpage.0690449046.html,Skinny Jeans,Light denim gray/Trashed,Skinny fit,"Cotton 98%, Elastane 2%",,,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
0690449051,https://www2.hm.com/en_us/productpage.0690449051.html,Skinny Jeans,Gray,Skinny fit,"Cotton 98%, Elastane 2%",,Recycled cotton 20%,,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",$39.99
1004476001,https://www2.hm.com/en_us/productpage.1004476001.html,Freefit® Slim Jeans,Light denim blue,Slim fit,"Cotton 90%, Elasterell-P 8%, Elastane 2%","The model is 182cm/6'0"" and wears a size 31/32",,,"5-pocket denim jeans with a regular waist, zip fly with button, and slim legs. Made with Lycra® Freefit® technology for soft, super-generous stretch, maximum freedom of movement, and optimal comfort.",$49.99
1004476002,https://www2.hm.com/en_us/productpage.1004476002.html,Freefit® Slim Jeans,Light denim blue,Slim fit,"Cotton 90%, Elasterell-P 8%, Elastane 2%",,,,"5-pocket denim jeans with a regular waist, zip fly with button, and slim legs. Made with Lycra® Freefit® technology for soft, super-generous stretch, maximum freedom of movement, and optimal comfort.",$49.99
1004476003,https://www2.hm.com/en_us/productpage.1004476003.html,Freefit® Slim Jeans,Denim blue,Slim fit,"Cotton 90%, Elasterell-P 8%, Elastane 2%",,,,"5-pocket denim jeans with a regular waist, zip fly with button, and slim legs. Made with Lycra® Freefit® technology for soft, super-generous stretch, maximum freedom of movement, and optimal comfort.",$49.99
1004476005,https://www2.hm.com/en_us/productpage.1004476005.html,Freefit® Slim Jeans,Black/No fade black,Slim fit,"Cotton 90%, Elasterell-P 8%, Elastane 2%","The model is 182cm/6'0"" and wears a size 31/32",,,"5-pocket denim jeans with a regular waist, zip fly with button, and slim legs. Made with Lycra® Freefit® technology for soft, super-generous stretch, maximum freedom of movement, and optimal comfort.",$49.99
