id,link,name,color,fit,description,price,cotton,elastane,elasterell_p,viscose,modal,polyester,recycled_cotton,recycled_polyester,id_group
690449001,https://www2.hm.com/en_us/productpage.0690449001.html,skinny_jeans,light_denim_blue/trashed,skinny_fit,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",39.99,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,6904490
690449002,https://www2.hm.com/en_us/productpage.0690449002.html,skinny_jeans,denim_blue,skinny_fit,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",39.99,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,6904490
690449006,https://www2.hm.com/en_us/productpage.0690449006.html,skinny_jeans,black/washed,skinny_fit,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",39.99,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,6904490
690449007,https://www2.hm.com/en_us/productpage.0690449007.html,skinny_jeans,light_denim_blue,skinny_fit,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",39.99,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,6904490
690449009,https://www2.hm.com/en_us/productpage.0690449009.html,skinny_jeans,black_washed_out,skinny_fit,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",39.99,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,6904490
690449011,https://www2.hm.com/en_us/productpage.0690449011.html,skinny_jeans,white,skinny_fit,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",39.99,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,6904490
690449013,https://www2.hm.com/en_us/productpage.0690449013.html,skinny_jeans,black/washed,skinny_fit,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",39.99,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,6904490
690449021,https://www2.hm.com/en_us/productpage.0690449021.html,skinny_jeans,dark_denim_blue/trashed,skinny_fit,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",39.99,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,6904490
690449022,https://www2.hm.com/en_us/productpage.0690449022.html,skinny_jeans,black/trashed,skinny_fit,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",39.99,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,6904490
690449024,https://www2.hm.com/en_us/productpage.0690449024.html,skinny_jeans,dark_blue/trashed,skinny_fit,"5-pocket jeans in washed stretch denim with heavily distressed details. Regular waist, zip fly with button, and skinny legs.",39.99,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,6904490
